Customer_ID,Credit_Score,Income,Age,Loan_Amount,Loan_Term_Months,Rent_Payments,Utility_Payments_On_Time,Mobile_Phone_Payment_On_Time,Social_Media_Activity_Score,Transaction_Behavior_Score
1,402,126296,60,15357,36,964,True,True,50,77
2,735,101182,27,47136,60,2274,True,True,84,24
3,570,102565,47,4137,48,1746,True,False,16,54
4,406,49402,67,1097,60,1130,True,True,76,26
5,371,24263,35,12407,48,1324,True,True,77,66
6,320,143489,34,31575,36,1787,True,False,39,80
7,421,116523,43,13722,12,1730,True,True,89,38
8,766,66828,25,13924,36,1106,True,False,46,65
9,514,140824,64,4750,12,1384,True,True,96,75
10,630,67924,57,28733,12,2257,True,True,88,51
11,758,94182,66,9535,60,865,True,True,47,35
12,387,113065,29,25487,36,775,True,True,44,43
13,672,79052,44,31651,48,879,True,True,9,29
14,399,31664,25,5666,36,2266,True,True,87,37
15,430,55737,42,49777,60,1832,True,True,50,81
16,608,121332,63,17994,12,2154,True,True,77,58
17,643,109563,21,2727,60,1791,False,True,60,54
18,791,49373,50,35622,24,1444,True,True,96,39
19,713,137369,18,11800,24,2308,False,True,15,42
20,685,56397,36,38823,48,1587,False,True,36,28
21,491,148575,48,44039,60,1309,True,False,63,29
22,576,106145,33,19708,48,1873,True,True,69,43
23,460,121371,31,13819,48,1424,True,False,86,3
24,759,58709,65,10369,24,2438,True,True,80,10
25,613,136074,22,10283,48,993,True,True,41,59
26,321,81120,58,31573,24,2046,True,True,74,14
27,552,39250,43,14171,12,1621,True,True,24,76
28,774,41172,45,31933,60,2469,True,True,82,47
29,358,31555,19,6774,48,1594,True,True,49,42
30,810,107410,67,7519,24,863,True,True,18,94
31,775,98617,23,11983,36,1069,True,True,7,32
32,489,73276,26,31932,48,2325,True,True,4,32
33,543,77492,50,31798,12,1262,True,True,90,42
34,804,73002,58,19133,12,775,False,True,69,32
35,430,140103,42,15939,36,549,True,True,60,26
36,784,144938,65,1781,24,1881,True,True,55,1
37,320,109599,30,28624,48,1227,True,True,16,56
38,466,92355,26,7823,24,1405,True,True,99,2
39,573,111248,30,19489,12,1427,True,True,90,81
40,687,44762,48,40961,24,1063,True,True,82,30
41,615,31046,58,30118,12,1282,True,True,29,71
42,313,116999,28,35881,24,984,True,True,23,52
43,541,144130,21,17280,36,1607,False,True,14,91
44,645,136021,51,23263,60,2422,True,False,79,9
45,639,48769,55,14565,36,2328,True,False,49,22
46,391,73302,63,21354,36,2161,True,True,33,34
47,666,43150,21,43951,60,2331,True,True,25,49
48,754,88247,55,26643,60,1083,True,True,21,1
49,727,24853,36,24648,48,1819,True,True,17,73
50,808,114613,23,42971,48,735,True,True,23,84
51,334,140900,51,19658,36,555,False,True,57,53
52,505,109399,35,22253,36,2442,True,False,81,83
53,380,41792,30,49563,12,859,True,True,58,40
54,687,79129,58,27390,12,2430,True,True,14,45
55,301,126019,40,24128,48,609,True,True,93,68
56,689,94478,36,14489,48,691,True,True,20,9
57,405,133811,62,39314,12,1403,True,True,30,22
58,776,134130,28,33658,12,1616,True,False,19,18
59,701,87298,18,7852,24,1361,True,True,53,76
60,461,51987,41,30450,24,1067,True,True,56,43
61,501,35850,24,3551,12,1583,True,True,77,39
62,569,32112,42,7411,24,1149,True,True,82,73
63,570,141789,38,34243,60,538,True,True,23,6
64,755,44058,32,22800,48,2063,True,True,62,83
65,761,65420,18,11403,48,1572,True,True,33,48
66,551,58890,29,8239,12,1943,True,True,18,7
67,595,86017,24,7710,36,1136,True,True,73,80
68,637,67304,32,22384,12,1536,True,True,33,69
69,352,52921,38,22038,24,535,True,True,32,16
70,516,125921,36,41846,36,600,True,True,61,1
71,487,21524,46,23447,24,2317,True,True,54,37
72,679,120424,42,3285,60,1609,True,True,17,83
73,792,35048,50,38991,24,2039,True,True,19,37
74,340,55111,66,14521,60,1746,True,True,91,81
75,456,57904,49,48657,60,1861,True,True,70,64
76,314,74912,66,7971,24,2483,True,True,99,90
77,364,54008,52,30139,24,665,False,True,34,86
78,820,20060,61,20909,60,882,True,True,84,62
79,643,94666,55,12531,36,2379,True,True,25,72
80,428,103559,43,15721,60,2418,True,True,68,61
81,771,75337,28,20206,48,1899,True,True,74,33
82,362,130616,52,38711,60,1994,True,True,74,66
83,438,33350,25,7530,36,1289,True,True,88,30
84,798,44354,63,12116,48,2165,True,True,85,20
85,691,65186,31,1258,12,530,True,True,11,60
86,718,48145,27,1282,12,1898,True,True,91,82
87,588,54020,19,14937,36,510,True,True,16,74
88,678,106123,63,2898,60,1825,True,True,90,24
89,789,126667,26,5135,24,595,True,True,61,4
90,530,95186,20,7629,36,1713,False,True,94,37
91,340,105469,38,44936,48,952,True,True,80,4
92,327,40581,43,20584,48,691,True,True,7,77
93,434,108929,25,24551,12,985,True,False,16,89
94,500,43051,65,34380,48,1789,True,False,99,77
95,332,71474,19,47971,36,1947,True,False,16,18
96,347,111748,23,18071,48,1651,True,True,40,88
97,802,145995,45,21074,36,737,True,True,12,66
98,706,134618,46,26188,24,2443,True,True,35,48
99,398,89626,43,3307,12,1878,True,True,21,33
100,846,26960,42,40901,48,2463,False,True,50,58
101,761,55772,29,12205,36,1635,True,True,43,83
102,304,41520,22,6906,60,2351,True,True,17,73
103,517,69481,51,3591,12,1969,True,True,32,28
104,802,56408,65,16149,24,1866,True,True,41,35
105,697,114006,54,45918,36,1668,True,False,6,10
106,692,148496,32,40951,24,1588,True,True,88,65
107,506,77134,61,26150,24,1770,False,True,27,42
108,314,40491,53,32852,48,1234,True,False,20,85
109,760,21341,32,43870,48,1490,True,True,25,9
110,540,64623,60,2283,36,2013,True,True,66,60
111,395,110327,65,34691,60,1324,False,True,9,15
112,784,20338,40,2125,36,1962,True,True,92,99
113,706,91431,23,2529,60,605,True,False,53,57
114,530,32254,63,27170,24,680,True,True,61,69
115,470,71860,67,9438,12,683,True,True,38,22
116,840,31344,61,21095,36,725,True,True,3,64
117,335,21750,60,17154,36,1276,True,True,84,41
